conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1888099646742085880,Sat Feb 08 07:56:57 +0000 2025,0,@iltuohomie_ Bayar gak ada yang gratis ini bukan program makan siang Prabowo,1888134912928358710,,iltuohomie_,in,,0,1,0,https://x.com/studiorimaa/status/1888134912928358710,1104256263452483585,studiorimaa
1888002029358071906,Sat Feb 08 06:27:26 +0000 2025,0,@DokterTifa @prabowo Kenapa banyak yang bilang pemerintah akan gagal? Karena tidak ada makan siang gratis...hehehe...,1888112383685439797,,DokterTifa,in,Jakarta | Indonesia,0,0,0,https://x.com/obet_hs/status/1888112383685439797,96989527,obet_hs
1888106548335161522,Sat Feb 08 06:04:15 +0000 2025,3,makan siang dengan porsi makan siang gratis prabowo tp masakan gw lebih enak https://t.co/ealyLLAzRM,1888106548335161522,https://pbs.twimg.com/media/GjPm5I4aYAAvyv6.jpg,,in,21 ✪ VERSAINZ,0,9,2,https://x.com/delicateshera/status/1888106548335161522,1531894144443985920,delicateshera
1888104953085837759,Sat Feb 08 05:57:54 +0000 2025,0,MAKAN SIANG GRATIS MERUGIKAN!! KENAPA GUA BISA NGOMONG MERUGIKAN? KARENA PAK PRABOWO PERNAH BILANG MAKANAN GRATIS MENGGUNAKAN DANA PRIBADI BELIAU TAPI KENYATAANNYA APA? MALAH MERUGIKAN PNS SEPERTI AC DIKANTOR BELIAU DIMATIKAN DAN GAJI DIPERKECIL INI SUNGGUH SANGAT MERUGIKAN!!!!!,1888104953085837759,,,in,"Semarang Utara 1, Indonesia",0,0,0,https://x.com/Ahmadnandna/status/1888104953085837759,1535108600250929152,Ahmadnandna
1887661875103736008,Sat Feb 08 05:10:35 +0000 2025,0,@Dennysiregar7 @prabowo Krang tepat bg malah mkin bayak duit te nanti.. Yg betulnya suru ngurus makan siang gratis tpi khusus pulau Papua.. - biar tau dia gmana cara hidup mandiri..,1888093045179965808,,Dennysiregar7,in,,0,0,0,https://x.com/uda_jiban/status/1888093045179965808,1592364498085502976,uda_jiban
1887827619078639673,Sat Feb 08 04:27:14 +0000 2025,0,@CakKhum buat beli makan siang nya pak menteri !!! .. kementerian mana yang ngurusin makan siang gratis .. woi itu program pak gemoy ini nah .. @prabowo ya kan pak gemoy ..,1888082134851870762,,CakKhum,in,Indonesia,0,0,0,https://x.com/BukhariSiregar/status/1888082134851870762,2244458406,BukhariSiregar
1887487526040158488,Sat Feb 08 03:28:36 +0000 2025,0,@ch_chotimah2 Yang dipentingkan dia ADALAH anaknya jadi WAPRES.. padahal GANJAR DAN JOKOWI saudara kandung separtai GARIS KEBIJAKAN nya sama kalo sama Prabowo itu orang lain yg diperjuangkan kepentingan nya IKN nggak penting buat PRABOWO makan siang gratis YG UTAMA..OK GAS,1888067380821299205,,ch_chotimah2,in,,0,0,0,https://x.com/gogo74070675957/status/1888067380821299205,1652284599446433793,gogo74070675957
1887857766909526140,Sat Feb 08 03:09:37 +0000 2025,2,@BosPurwa @prabowo @jokowi maksain bangun IKN yg ga tau bakal berguna apa ngga. eh pemerintahan selanjutnya ttp ngotot makan siang gratis yg anggaranya jg ga ngotak. ditambah mentri jgn membengkak. pray for indonesia,1888062603513184402,,BosPurwa,in,Distrik Padang Senyap,0,0,0,https://x.com/Bgrqqb/status/1888062603513184402,2489389836,Bgrqqb
1887847770339635220,Sat Feb 08 02:53:08 +0000 2025,0,@AirinDatangLagi @prabowo Emang sihh...gak ada yg namanya makan siang gratis sebenernya,1888058453056438492,,AirinDatangLagi,in,city never sleep,0,0,0,https://x.com/SajaSusanto/status/1888058453056438492,2907293384,SajaSusanto
1888002029358071906,Sat Feb 08 02:26:43 +0000 2025,1,@DokterTifa @prabowo Tak ada makan Siang gratis. Wowo tersandera Hutang Budi sama Wiwi di Jadikan Presiden.,1888051806976249970,,DokterTifa,in,,0,0,0,https://x.com/symslbahri30/status/1888051806976249970,1580571002341584897,symslbahri30
1887697259456004136,Sat Feb 08 02:05:15 +0000 2025,0,@Epricila10 @prabowo @Gerindra belum lagi anggaran makan siang gratis ini yg gak sedikit,1888046404691710076,,biggestw1n,in,"Kalimantan Selatan, Indonesia",0,0,0,https://x.com/biggestw1n/status/1888046404691710076,1797267951479058432,biggestw1n
1887857766909526140,Sat Feb 08 01:58:30 +0000 2025,0,@BosPurwa @prabowo @jokowi bayar utang nanti penting makan siang gratis dulu ygy,1888044703037493357,,BosPurwa,in,Narukami Island,0,0,0,https://x.com/coderboba/status/1888044703037493357,1480641668344737795,coderboba
1888043939019768244,Sat Feb 08 01:55:27 +0000 2025,0,@prabowo Yth. Prabowo. Utk penghematan anggaran terutama APBN sebaiknya program makan siang gratis dilakukan setiap hari Juma'at &amp; Senin. Hari lainnya sarapan pagi gratis dgn menu susu &amp; telur rebus. Jika dihitung akan menghemat anggaran yg signifikan.,1888043939019768244,,prabowo,in,"Kota Bogor, Jawa Barat",0,0,0,https://x.com/pbuaran11A/status/1888043939019768244,110390631,pbuaran11A
1887894477786021941,Sat Feb 08 01:40:19 +0000 2025,0,@prabowo Selamat pagi pak Presiden mohon segera terapkan kebijakan untuk menjalankan amanat Undang-Undang Dasar 1945 yakni mencerdaskan kehidupan bangsa. Mohon segera dievaluasi makan siang gratis dan diganti kuliah gratis. Hentikan semua pungli yang marak terjadi di sekolah.,1888040128431693924,,prabowo,in,,0,0,0,https://x.com/kondolele01/status/1888040128431693924,1529278104145113089,kondolele01
1887494787907133643,Sat Feb 08 00:46:22 +0000 2025,1,@Boediantar4 @prabowo @sjafriesjams @fadlizon @bang_dasco @Gerindra Prabowo hanya bisa diam aja soal beginian. Hanya fokus MSG (makan siang gratis ) pdhl rakyat lebih butuh tempat tinggal yg layak bukan hanya isi perut aja miris liat nya ,1888026553017323678,,Boediantar4,in,,0,0,0,https://x.com/Istvannandi/status/1888026553017323678,1813843321204400128,Istvannandi
1887815015941775487,Sat Feb 08 00:39:20 +0000 2025,1,@KangManto123 woii pak wapres dari pada anda bikin acara gak jelas mending anda bantu Pak @prabowo bantu bongkar kasus gas LPG atau nangani makan siang gratis biar segera merata atau apalah program yang anda janjikan dulu. jangan ngurusi urusan receh kek gini,1888024781792129305,,KangManto123,in,,0,0,1,https://x.com/Slamet_wiyono88/status/1888024781792129305,1747405063738597376,Slamet_wiyono88
1887850384611483793,Sat Feb 08 00:37:32 +0000 2025,0,@kegblgnunfaedh makan siang gratis dlu ga sih pak @prabowo ,1888024328224063706,,kegblgnunfaedh,in,,0,0,0,https://x.com/surfactann/status/1888024328224063706,1078637642919493633,surfactann
1887661875103736008,Sat Feb 08 00:16:34 +0000 2025,2,@editya77 @Dennysiregar7 @prabowo Tuh si botak DUTA MAKAN SIANG GRATIS yg disamping Regan agak tersinggung bang...,1888019053467550202,,editya77,in,,0,0,0,https://x.com/hermanindonesi4/status/1888019053467550202,1549511413462233089,hermanindonesi4
1887674907158585419,Fri Feb 07 20:39:59 +0000 2025,0,@BANGSAygSUJUD @prabowo Bangkit..bangkit dr mana? Unt biaya makan siang gratis sj heboh mengenai pendanaannya keg2 asn bnyk yg dipotong gaji 13 n 14 pun mau dihilangkan tambang2 bumi yg menikmati asing (emas nikel batu bara m bumi gas etc) ikn tak berlambang krn tdk mewakili seluruh rkyt RI.,1887964546733850803,,BANGSAygSUJUD,in,,0,0,0,https://x.com/NajibIbu14181/status/1887964546733850803,1800951429152243713,NajibIbu14181
